incident_id,login_failure_rate,token_validation_error_rate,http_5xx_rate,latency_p95_ms,cpu_utilization_percent,memory_utilization_percent,dependency_error_rate,network_packet_loss_percent,deployment_age_minutes,affected_user_count,regions_affected,category,severity
authentication_failure-00076,0.132414,0.274208,0.121904,1919.566,42.091,30.711,0.024479,0.337,,1029,2,authentication_failure,SEV-2
network_degradation-00010,0.082047,0.015059,0.100203,2511.992,45.668,60.891,0.049459,7.766,,8480,3,network_degradation,SEV-2
network_degradation-00014,0.16411,0.026875,0.136682,6072.515,66.235,71.454,0.010868,4.171,,4337,5,network_degradation,SEV-1
network_degradation-00007,0.073319,0.023762,0.060844,6222.885,52.278,43.537,0.009811,13.734,,1580,3,network_degradation,SEV-2
deployment_regression-00059,0.316338,0.015754,0.408929,2545.848,67.231,51.011,0.01959,1.211,13,5123,4,deployment_regression,SEV-1
infrastructure_saturation-00022,0.116012,0.03438,0.342268,2384.809,93.207,99.051,0.012051,0.471,,5328,3,infrastructure_saturation,SEV-2
network_degradation-00019,0.139962,0.019583,0.195621,1528.248,53.796,58.575,0.024204,14.584,,718,5,network_degradation,SEV-1
infrastructure_saturation-00065,0.13403,0.002757,0.189528,3334.995,98.448,87.891,0.033185,0.012,,9337,3,infrastructure_saturation,SEV-2
network_degradation-00013,0.054102,0.016743,0.109303,1211.914,58.944,55.318,0.011395,11.719,,8859,4,network_degradation,SEV-1
infrastructure_saturation-00083,0.014935,0.002247,0.230499,1629.532,94.78,87.971,0.036848,1.21,,3007,3,infrastructure_saturation,SEV-2
authentication_failure-00010,0.301529,0.081599,0.063427,2492.243,54.101,80.496,0.051647,0.017,,5684,3,authentication_failure,SEV-2
network_degradation-00015,0.139696,0.007323,0.176334,3013.795,24.911,43.83,0.044653,6.685,,5528,3,network_degradation,SEV-2
infrastructure_saturation-00067,0.131212,0.000956,0.212464,5633.622,96.935,82.173,0.020101,1.138,,12192,3,infrastructure_saturation,SEV-1
dependency_failure-00050,0.048132,0.027861,0.152236,3271.3,76.711,28.796,0.423394,0.994,,6001,1,dependency_failure,SEV-2
deployment_regression-00076,0.148046,0.126979,0.297127,1575.866,68.85,63.145,0.051036,0.079,14,5661,4,deployment_regression,SEV-1
dependency_failure-00066,0.043987,0.023613,0.302296,1929.853,47.281,39.255,0.439693,1.361,,11869,1,dependency_failure,SEV-1
unknown-00066,0.07255,0.013263,0.041349,1343.789,78.012,29.063,0.027548,0.77,,216,1,unknown,SEV-3
authentication_failure-00004,0.433785,0.242318,0.146236,1257.069,55.362,73.129,0.037111,1.293,,5871,1,authentication_failure,SEV-2
